model,position,rank_layers,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,n_dev
M1,prompt_end_minus_16,34-39,4,0.5244435091657313,0.06341173586467219,0.5504142250959789,0.6448863636363636,0.5542197076850542,352
M1,prompt_end_minus_15,34-39,4,0.4660195707070708,0.06725660563166745,0.49363507779349364,0.4460227272727273,0.50713948945915,352
M1,prompt_end_minus_14,34-39,4,0.4451365506921063,0.06374718509182752,0.44951842122987806,0.48295454545454547,0.4430524685121573,352
M1,prompt_end_minus_13,34-39,4,0.5720158763561541,0.10669418819195897,0.5035360678925036,0.5596590909090909,0.5132686738061562,352
M1,prompt_end_minus_12,34-39,4,0.6159161054994389,0.16467026492674586,0.4792213915269078,0.5767045454545454,0.5402774971374689,352
M1,prompt_end_minus_11,34-39,4,0.42185980172091275,0.06735749938532819,0.3909880783996767,0.42045454545454547,0.4409645046137267,352
M1,prompt_end_minus_10,34-39,4,0.565201786382342,0.1343356888585721,0.5847645989088704,0.6022727272727273,0.5551289822859837,352
M1,prompt_end_minus_09,34-39,4,0.408394126449682,0.07704868995806438,0.420152219303563,0.45454545454545453,0.41799690173098947,352
M1,prompt_end_minus_08,34-39,4,0.4996095211372989,0.154734424812636,0.43719269886172296,0.5539772727272727,0.49286051054085,352
M1,prompt_end_minus_07,34-39,4,0.5191621071829404,0.05423133733321115,0.3759682090658045,0.5,0.3759682090658045,352
M1,prompt_end_minus_06,34-39,4,0.5704118733632623,0.06600659185534513,0.5263689634269549,0.5653409090909091,0.49946117060685663,352
M1,prompt_end_minus_05,34-39,4,0.5373971193415638,0.05817963368136635,0.5487303832424059,0.5028409090909091,0.5315888731730316,352
M1,prompt_end_minus_04,34-39,4,0.4508306444070333,0.1580519794451668,0.45544554455445546,0.5511363636363636,0.4741025122920456,352
M1,prompt_end_minus_03,34-39,4,0.5706234801720913,0.16436299548471567,0.620798814575335,0.6505681818181818,0.6345052872634203,352
M1,prompt_end_minus_02,34-39,4,0.42089529554807337,0.08860216343157307,0.4525493365663097,0.5539772727272727,0.4757526773085472,352
M1,prompt_end_minus_01,34-39,4,0.7603640572390572,0.13994134444355683,0.7150266047012865,0.6732954545454546,0.6733683572438877,352
