model,position,rank_layers,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,n_dev
M1,prompt_end_minus_16,34-39,4,0.5244435091657313,0.06341173586467219,0.5504142250959789,0.6448863636363636,0.5542197076850542,352
M2,prompt_end_minus_16,34-39,4,0.530293092966704,0.08355009807683081,0.5807907321344379,0.5738636363636364,0.5728429985855727,352
M3,prompt_end_minus_16,34-39,4,0.5423546810699589,0.08776685353413566,0.5812622078534384,0.5965909090909091,0.5774904021014347,352
M4,prompt_end_minus_16,34-39,4,0.5521815375982043,0.08252714971259409,0.5934532228733077,0.59375,0.5758402370849329,352
M1,prompt_end_minus_15,34-39,4,0.4660195707070708,0.06725660563166745,0.49363507779349364,0.4460227272727273,0.50713948945915,352
M2,prompt_end_minus_15,34-39,4,0.456736929479985,0.1146259599259188,0.4021687883074022,0.48295454545454547,0.4002828854314003,352
M3,prompt_end_minus_15,34-39,4,0.4444187242798354,0.10165892256456556,0.40216878830740216,0.48579545454545453,0.41904088368020476,352
M4,prompt_end_minus_15,34-39,4,0.4538480873550319,0.11010054420824505,0.40513234996969083,0.4943181818181818,0.43254529534586117,352
M1,prompt_end_minus_14,34-39,4,0.4451365506921063,0.06374718509182752,0.44951842122987806,0.48295454545454547,0.4430524685121573,352
M2,prompt_end_minus_14,34-39,4,0.5724548728020951,0.08496393482225507,0.5632787768572777,0.5681818181818182,0.5524348353202667,352
M3,prompt_end_minus_14,34-39,4,0.5510796623643847,0.06963792322623752,0.5516939449046946,0.5426136363636364,0.520475516939449,352
M4,prompt_end_minus_14,34-39,4,0.5612929059109615,0.08325407535684817,0.558429312318987,0.5653409090909091,0.5593385869199164,352
M1,prompt_end_minus_13,34-39,4,0.5720158763561541,0.10669418819195897,0.5035360678925036,0.5596590909090909,0.5132686738061562,352
M2,prompt_end_minus_13,34-39,4,0.5280618686868687,0.04877865669810244,0.4778069643699064,0.5,0.47006129184347,352
M3,prompt_end_minus_13,34-39,4,0.5288042461653573,0.0641808262450934,0.46992658449518426,0.53125,0.43688960732807974,352
M4,prompt_end_minus_13,34-39,4,0.5700944631500187,0.081583853782241,0.5243483532026673,0.625,0.508452886104937,352
M1,prompt_end_minus_12,34-39,4,0.6159161054994389,0.16467026492674586,0.4792213915269078,0.5767045454545454,0.5402774971374689,352
M2,prompt_end_minus_12,34-39,4,0.49644827908716793,0.0475302763665318,0.4666936081363238,0.5369318181818182,0.4829595204418401,352
M3,prompt_end_minus_12,34-39,4,0.506368663486719,0.0485891098855489,0.46191149727217623,0.5454545454545454,0.4365865157944366,352
M4,prompt_end_minus_12,34-39,4,0.5069894547325103,0.0569231126210188,0.4635953391257493,0.5397727272727273,0.4675018522260389,352
M1,prompt_end_minus_11,34-39,4,0.42185980172091275,0.06735749938532819,0.3909880783996767,0.42045454545454547,0.4409645046137267,352
