model,position,rank_layers,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,n_dev
M1,prompt_end_minus_16,27-31,5,0.47049055892001973,0.033996776300010634,0.4593712642564053,0.46875,0.4669477561306581,352
M1,prompt_end_minus_15,27-31,5,0.5420914590657901,0.08834803629091904,0.5547155180769603,0.5625,0.5587541598009758,352
M1,prompt_end_minus_14,27-31,5,0.4266264226950186,0.051662048978038326,0.4064165939711156,0.4431818181818182,0.44321669736034375,352
M1,prompt_end_minus_13,27-31,5,0.48973514509450683,0.05051502486162484,0.44929081451326286,0.4744318181818182,0.47780362508481145,352
M1,prompt_end_minus_12,27-31,5,0.4805487466298534,0.023216852136357553,0.48289231365707086,0.4630681818181818,0.46239216826596874,352
M1,prompt_end_minus_11,27-31,5,0.5271702335186701,0.04567036526176374,0.5230202578268875,0.48863636363636365,0.48499240735355886,352
M1,prompt_end_minus_10,27-31,5,0.47099827237023667,0.09299176485601598,0.5179154146877322,0.4971590909090909,0.4940874285160415,352
M1,prompt_end_minus_09,27-31,5,0.4455100124009702,0.05652743492087832,0.4607282478756744,0.4715909090909091,0.47261800911117574,352
M1,prompt_end_minus_08,27-31,5,0.491999027975296,0.034349277223291695,0.5335207263093276,0.5653409090909091,0.5587703143678717,352
M1,prompt_end_minus_07,27-31,5,0.4886498687693974,0.0450541962179629,0.48689864624729406,0.4744318181818182,0.47085716131950506,352
M1,prompt_end_minus_06,27-31,5,0.5648569639311642,0.08977390649390243,0.5175277050822268,0.5454545454545454,0.5484798552550806,352
M1,prompt_end_minus_05,27-31,5,0.4206966587046067,0.09389657550478238,0.42021259410035205,0.4403409090909091,0.4367387160350231,352
M1,prompt_end_minus_04,27-31,5,0.505515494408268,0.06878815150024245,0.47975832767923493,0.48295454545454547,0.48512164388872736,352
M1,prompt_end_minus_03,27-31,5,0.5207909173219907,0.051558017352910136,0.4977868243352396,0.5085227272727273,0.5052986979419082,352
M1,prompt_end_minus_02,27-31,5,0.4430961638953942,0.1305157842132549,0.42932376982973086,0.45170454545454547,0.4532809925365901,352
M1,prompt_end_minus_01,27-31,5,0.4540344926215375,0.1029800835912313,0.47685050563794384,0.48863636363636365,0.4896772317534167,352
