model,position,rank_layers,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,n_dev
M1,prompt_end_minus_16,27-31,5,0.47049055892001973,0.033996776300010634,0.4593712642564053,0.46875,0.4669477561306581,352
M2,prompt_end_minus_16,27-31,5,0.6290411338383919,0.13823040751768956,0.6147135795289328,0.5653409090909091,0.5670091434848632,352
M3,prompt_end_minus_16,27-31,5,0.6337515446575208,0.1412110564568261,0.6117411392200575,0.5738636363636364,0.575134890633582,352
M4,prompt_end_minus_16,27-31,5,0.6295350408839047,0.1395108312923363,0.6117734483538496,0.5596590909090909,0.561161190268489,352
M1,prompt_end_minus_15,27-31,5,0.5420914590657901,0.08834803629091904,0.5547155180769603,0.5625,0.5587541598009758,352
M2,prompt_end_minus_15,27-31,5,0.5786064300085856,0.052362189750167605,0.5696746470227133,0.5823863636363636,0.5805143614099706,352
M3,prompt_end_minus_15,27-31,5,0.5777626660349485,0.06612806243615821,0.5688669186779103,0.5511363636363636,0.5486737100578334,352
M4,prompt_end_minus_15,27-31,5,0.5858137597071108,0.056418545299490454,0.5734871248101838,0.5767045454545454,0.5748279538625569,352
M1,prompt_end_minus_14,27-31,5,0.4266264226950186,0.051662048978038326,0.4064165939711156,0.4431818181818182,0.44321669736034375,352
M2,prompt_end_minus_14,27-31,5,0.5025661990892676,0.03661480392089049,0.48767406545830505,0.5085227272727273,0.5054602436108688,352
M3,prompt_end_minus_14,27-31,5,0.48620250050458863,0.02974326100113782,0.46893476785887367,0.48863636363636365,0.48499240735355886,352
M4,prompt_end_minus_14,27-31,5,0.4893778189481628,0.054634092457116,0.4712610254919065,0.4914772727272727,0.4882394752996672,352
M1,prompt_end_minus_13,27-31,5,0.48973514509450683,0.05051502486162484,0.44929081451326286,0.4744318181818182,0.47780362508481145,352
M2,prompt_end_minus_13,27-31,5,0.43503158682989207,0.11022371099597914,0.42748214920357985,0.48863636363636365,0.4869309553810862,352
M3,prompt_end_minus_13,27-31,5,0.43730546510210067,0.10529919582040378,0.4210203224451552,0.4630681818181818,0.46239216826596874,352
M4,prompt_end_minus_13,27-31,5,0.42204991880095627,0.08778250734079265,0.41426771348260144,0.4659090909090909,0.46370068818454974,352
M1,prompt_end_minus_12,27-31,5,0.4805487466298534,0.023216852136357553,0.48289231365707086,0.4630681818181818,0.46239216826596874,352
M2,prompt_end_minus_12,27-31,5,0.4760913449394879,0.05872570149016098,0.4710348615553617,0.4744318181818182,0.47457271170559917,352
M3,prompt_end_minus_12,27-31,5,0.47235919393157566,0.057726592466653355,0.46573616361345355,0.48295454545454547,0.48302155019223936,352
M4,prompt_end_minus_12,27-31,5,0.4786402849681103,0.043765408848542596,0.47575199508901156,0.4772727272727273,0.4766889599689832,352
M1,prompt_end_minus_11,27-31,5,0.5271702335186701,0.04567036526176374,0.5230202578268875,0.48863636363636365,0.48499240735355886,352
M2,prompt_end_minus_11,27-31,5,0.5381404452570498,0.02913660610738213,0.49384511001260056,0.44886363636363635,0.45084165293528483,352
M3,prompt_end_minus_11,27-31,5,0.5472970051978375,0.023892265911072054,0.5048948337695066,0.46875,0.46920939549610674,352
M4,prompt_end_minus_11,27-31,5,0.5210125887054952,0.024005063816494376,0.47988756421440343,0.4403409090909091,0.4412619947659203,352
M1,prompt_end_minus_10,27-31,5,0.47099827237023667,0.09299176485601598,0.5179154146877322,0.4971590909090909,0.4940874285160415,352
M2,prompt_end_minus_10,27-31,5,0.5021534733798418,0.07312620174906966,0.5333914897741592,0.5227272727272727,0.5231494943620562,352
M3,prompt_end_minus_10,27-31,5,0.5009193925650758,0.06526542095115884,0.5261219346709314,0.5170454545454546,0.5169784498077606,352
M4,prompt_end_minus_10,27-31,5,0.5058006940509262,0.06860979385225938,0.5337791993796647,0.53125,0.5317598785176569,352
M1,prompt_end_minus_09,27-31,5,0.4455100124009702,0.05652743492087832,0.4607282478756744,0.4715909090909091,0.47261800911117574,352
M2,prompt_end_minus_09,27-31,5,0.4505250639039299,0.08228587284617139,0.5042809602274563,0.48579545454545453,0.48449161577978095,352
M3,prompt_end_minus_09,27-31,5,0.4430332683997472,0.09725897439329155,0.4973021873283577,0.48295454545454547,0.48189073050951503,352
M4,prompt_end_minus_09,27-31,5,0.44098590138020627,0.09406877481098865,0.4954605667022067,0.48579545454545453,0.48465316144874154,352
M1,prompt_end_minus_08,27-31,5,0.491999027975296,0.034349277223291695,0.5335207263093276,0.5653409090909091,0.5587703143678717,352
M2,prompt_end_minus_08,27-31,5,0.4158500278903786,0.05028113497582638,0.47933830893993723,0.48863636363636365,0.48886950340861357,352
M3,prompt_end_minus_08,27-31,5,0.4308384617948322,0.037347287061567584,0.49917611708830084,0.5170454545454546,0.5177861781525638,352
M4,prompt_end_minus_08,27-31,5,0.44284159403200507,0.03675802782552865,0.5044101967626248,0.5085227272727273,0.5090142483280023,352
M1,prompt_end_minus_07,27-31,5,0.4886498687693974,0.0450541962179629,0.48689864624729406,0.4744318181818182,0.47085716131950506,352
M2,prompt_end_minus_07,27-31,5,0.41945007419769686,0.11332361903902992,0.43000226163936545,0.42045454545454547,0.42047106717068916,352
M3,prompt_end_minus_07,27-31,5,0.4148155404908245,0.12029936567509344,0.4299376433717812,0.42613636363636365,0.4259959290491422,352
M4,prompt_end_minus_07,27-31,5,0.4183981002379215,0.11269839302607329,0.4305192077800394,0.42329545454545453,0.4230719524409551,352
M1,prompt_end_minus_06,27-31,5,0.5648569639311642,0.08977390649390243,0.5175277050822268,0.5454545454545454,0.5484798552550806,352
M2,prompt_end_minus_06,27-31,5,0.45181780482473616,0.03795032208647328,0.4353655778488579,0.44886363636363635,0.44874155923879677,352
M3,prompt_end_minus_06,27-31,5,0.46857000069591087,0.03992725342181301,0.43917805563632833,0.4460227272727273,0.4454944912926884,352
M4,prompt_end_minus_06,27-31,5,0.46717847536487883,0.03674828712176077,0.439081128234952,0.4602272727272727,0.4602759200025847,352
M1,prompt_end_minus_05,27-31,5,0.4206966587046067,0.09389657550478238,0.42021259410035205,0.4403409090909091,0.4367387160350231,352
M2,prompt_end_minus_05,27-31,5,0.41213592610910865,0.039965172162987304,0.3817647248877258,0.42329545454545453,0.42113340441342767,352
M3,prompt_end_minus_05,27-31,5,0.3972827579682091,0.0421957188676304,0.37436593324932954,0.4034090909090909,0.4013117508319602,352
M4,prompt_end_minus_05,27-31,5,0.39382739386090737,0.04476577477449354,0.37556137119963817,0.42329545454545453,0.42048722173758524,352
M1,prompt_end_minus_04,27-31,5,0.505515494408268,0.06878815150024245,0.47975832767923493,0.48295454545454547,0.48512164388872736,352
M2,prompt_end_minus_04,27-31,5,0.4348380742609895,0.045408015265582975,0.40825821459726663,0.44886363636363635,0.4485800135698362,352
M3,prompt_end_minus_04,27-31,5,0.43525626736628953,0.035014960911360145,0.4087105424703563,0.45454545454545453,0.45507414946205293,352
M4,prompt_end_minus_04,27-31,5,0.4313323927093332,0.039749339029079664,0.4050919194856386,0.45454545454545453,0.4549126037930923,352
M1,prompt_end_minus_03,27-31,5,0.5207909173219907,0.051558017352910136,0.4977868243352396,0.5085227272727273,0.5052986979419082,352
M2,prompt_end_minus_03,27-31,5,0.4443854230640321,0.07970532171590107,0.4538140932441601,0.4715909090909091,0.4710025524215696,352
M3,prompt_end_minus_03,27-31,5,0.4414515533443894,0.07797948204903467,0.44954928758359985,0.4659090909090909,0.4651545992051953,352
M4,prompt_end_minus_03,27-31,5,0.43837839543618795,0.07912007765875274,0.4487092501050047,0.4659090909090909,0.46499305353623466,352
M1,prompt_end_minus_02,27-31,5,0.4430961638953942,0.1305157842132549,0.42932376982973086,0.45170454545454547,0.4532809925365901,352
M2,prompt_end_minus_02,27-31,5,0.48690931669997556,0.06277463497229817,0.48967723175341665,0.5056818181818182,0.5049594520370908,352
M3,prompt_end_minus_02,27-31,5,0.4750727955520679,0.06073523480019013,0.4760750864269329,0.4943181818181818,0.49358663694226357,352
M4,prompt_end_minus_02,27-31,5,0.47256734212496276,0.05450106652209545,0.47804594358825236,0.48863636363636365,0.4875771380569287,352
M1,prompt_end_minus_01,27-31,5,0.4540344926215375,0.1029800835912313,0.47685050563794384,0.48863636363636365,0.4896772317534167,352
M2,prompt_end_minus_01,27-31,5,0.4722029711845022,0.06755248190387789,0.45164938128008786,0.4630681818181818,0.45770734386611095,352
M3,prompt_end_minus_01,27-31,5,0.46623815649645034,0.06902452113477303,0.4496785241187684,0.4744318181818182,0.46908015896093824,352
M4,prompt_end_minus_01,27-31,5,0.481165841398851,0.06309920814234797,0.46276372330457816,0.48863636363636365,0.4835384963329133,352
