model,cohort,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m1_logreg__lens,all,412,171,5,0.47612395133376106,0.05624360364651912,0.47419378321321976,0.4830097087378641,0.4977918516900827
m1_logreg__lens,attack_only,352,171,5,0.47337316959944264,0.074273376691735,0.44660915640851667,0.4715909090909091,0.4747181028076637
m1_logreg__lens,attack_attempt_1,352,171,5,0.47337316959944264,0.074273376691735,0.44660915640851667,0.4715909090909091,0.4747181028076637
m1_xgb__lens,all,412,171,5,0.4527822356571159,0.056005672945391154,0.4528159957292956,0.4587378640776699,0.4498677537550654
m1_xgb__lens,attack_only,352,171,5,0.4504139306406013,0.05898987217677448,0.45358792930761527,0.4403409090909091,0.4391619010694323
m1_xgb__lens,attack_attempt_1,352,171,5,0.4504139306406013,0.05898987217677448,0.45358792930761527,0.4403409090909091,0.4391619010694323
m1_logreg__lens_meta,all,412,171,5,0.573938478567759,0.1849620138559629,0.5838732377277911,0.5679611650485437,0.6018296085996457
m1_logreg__lens_meta,attack_only,352,171,5,0.48042330683831214,0.09752971777848699,0.44593066459888214,0.4943181818181818,0.5027947400730186
m1_logreg__lens_meta,attack_attempt_1,352,171,5,0.48042330683831214,0.09752971777848699,0.44593066459888214,0.4943181818181818,0.5027947400730186
m1_xgb__lens_meta,all,412,171,5,0.5626207746343801,0.12517834183443535,0.559947586809347,0.5388349514563107,0.5429618305792143
m1_xgb__lens_meta,attack_only,352,171,5,0.46648135383459577,0.05434281361470582,0.4591451003198605,0.4772727272727273,0.47975832767923493
m1_xgb__lens_meta,attack_attempt_1,352,171,5,0.46648135383459577,0.05434281361470582,0.4591451003198605,0.4772727272727273,0.47975832767923493
